Room,Card,Risk Model,Unpredictability Model,Concealment Model,Obsession Model
"Study", "Rarely responds to messages immediately across online platforms", -6, -10, 12, -8
"Study", "Tracks personal health metrics manually using online tools or spreadsheets", 9, -9, -10, 12
"Study", "Uses private browsing mode regularly when browsing online", 8, -7, 14, -6
"Study", "Clears browser history often after internet sessions", 10, 4, 15, -5
"Study", "Maintains minimal online presence", -10, 6, 13, -8
"Study", "Tracks time spent on tasks using productivity software", 7, -11, -8, 10
"Study", "Watches Climate Change documentaries at 3am", 11, 9, -2, 6
"Study", "Uses productivity apps daily to organise digital workflow", 6, -8, -6, 13
"Bedroom", "Visits NHS or medical websites frequently via personal devices", 9, 4, 3, 12
"Bedroom", "Searches symptoms late at night on social platforms", 13, 6, -5, 10
"Bedroom", "Wakes up at the same time every day and checks social feeds", 5, -14, -4, 14
"Bedroom", "Posts frequently on social media", -9, -6, -12, 11
"Bedroom", "Oversleeps on work days after late-night device use", -7, 10, 2, -8
"Bedroom", "Often active online after midnight",4, 8, 9, -6
"Bedroom", "Deletes posts with low engagement", 11, 7, 10, 14
"Bedroom", "Social media post suggests they rarely spend weekends at home", 4, 13, 3, -7
"Living room", "Cancels plans on short notice with friends", -6, 14, 6, -5
"Living room", "Has no active social media accounts", -12, 5, 13, -6
"Living room", "Rarely initiates conversations in social settings", 8, 5, 8, -9
"Living room", "Leaves home at inconsistent times", -5, 15, 9, -10
"Living room", "Checks online maps often in their local area", 7, 4, -4, 5
"Living room", "Travel patterns do not follow routine", 5, 14, 4, -5
"Living room", "Frequently changes location on weekends", -8, 15, 5, -4
"Living room", "Goes to the local pub multiple times a week", -8, 6, -6, -7
"Kitchen", "Buys vitamins and supplements frequently", 5, 3, 4, 12
"Kitchen", "Rarely uses loyalty cards or subscriptions when shopping", -6, -11, 10, -5
"Kitchen", "Few recorded purchasing habits", -5, -8, 12, -6
"Kitchen", "Rarely makes impulse purchases when shopping", 6, -12, -10, -4
"Kitchen", "Eats takeaway at a consistant time", 4, -10, -4, 6
"Kitchen", "Checks bank balance daily to monitor finances", 11, 9, -3, 7
"Kitchen", "Exercises at scheduled times each week", -5, -11, -5, 12
"Kitchen", "Spends more money when socialising on food and drink", 8, 6, -4, -3
